iter,time,Mx,My,Mz,DMx,DMy,DMz,x,y,z,rxx,rxy,rxz,ryx,ryy,ryz,rzx,rzy,rzz
9,3.089894,-9.025432,-14.697161,-14.714821,-1.786425,-1.062611,-0.599728,-0.266345,-0.078236,0.102398,-0.784379,0.190369,-0.590347,0.033426,-0.948207,-0.315889,-0.620034,-0.267564,0.737541
6,2.288682,-8.741777,-13.124723,-14.518642,0.283655,1.572438,0.19618,-0.261289,-0.100607,0.125323,-0.858503,0.055068,-0.509843,0.106962,-0.963021,-0.247285,-0.504696,-0.266876,0.821011
7,2.626027,-7.832738,-13.299973,-15.48172,0.909039,-0.17525,-0.963078,-0.253504,-0.115984,0.104867,-0.796028,0.017769,-0.604999,0.096522,-0.988282,-0.118245,-0.600168,-0.152562,0.78519
7,2.430462,-7.264525,-14.151723,-13.82035,0.568214,-0.85175,1.661369,-0.26028,-0.103751,0.115405,-0.818952,0.007363,-0.573814,-0.053091,-0.992641,0.108832,-0.568987,0.119634,0.813598
5,1.897517,-7.436579,-14.228421,-14.358273,-0.172054,-0.076699,-0.537922,-0.259228,-0.103978,0.107257,-0.797183,0.032509,-0.602862,-0.033389,-0.998889,0.033246,-0.601314,0.046648,0.79765
7,2.471784,-8.767987,-15.137991,-12.255919,-1.331408,-0.90957,2.102354,-0.273763,-0.058996,0.127331,-0.845349,0.184412,-0.501375,-0.119604,-0.986018,-0.116033,-0.515894,-0.038132,0.855803
7,2.57317,-9.392951,-13.810777,-13.847062,-0.624964,1.327214,-1.591144,-0.268376,-0.078779,0.128375,-0.861863,0.145491,-0.485824,0.051355,-0.940175,-0.336799,-0.505837,-0.315272,0.802952
8,2.966861,-7.838678,-14.977301,-12.631032,1.554274,-1.166524,1.21603,-0.269485,-0.077101,0.121349,-0.83483,0.101735,-0.541026,-0.127744,-0.9901,0.058171,-0.529925,0.117714,0.839835
10,3.835561,-10.022825,-13.094861,-12.869133,-2.184148,1.88244,-0.238101,-0.269392,-0.071684,0.155001,-0.920939,0.138296,-0.364343,0.040288,-0.911583,-0.409136,-0.38875,-0.391507,0.834024
7,2.709631,-9.071564,-13.205993,-14.535292,0.951261,-0.111132,-1.666158,-0.263082,-0.095228,0.125366,-0.859593,0.085899,-0.503707,0.110509,-0.942784,-0.314556,-0.501985,-0.326105,0.801041
6,2.408925,-7.860441,-13.241104,-14.73144,1.211123,-0.035111,-0.196148,-0.256477,-0.112355,0.117063,-0.830027,0.000461,-0.557724,0.077028,-0.994208,-0.074954,-0.554669,-0.105201,0.825394
4,1.58588,-8.016929,-13.130173,-14.68899,-0.156488,0.110931,0.042449,-0.257028,-0.111349,0.119801,-0.838902,0.003567,-0.544271,0.090205,-0.990316,-0.105537,-0.539505,-0.137664,0.830652
7,2.384387,-8.9223,-13.39797,-13.065603,-0.90537,-0.267797,1.623387,-0.266961,-0.084428,0.143387,-0.898489,0.076766,-0.432232,0.031213,-0.980218,-0.195446,-0.438762,-0.189131,0.878474
10,3.626006,-6.664148,-12.598136,-12.299517,2.258151,0.799834,0.766086,-0.254211,-0.117049,0.158837,-0.907529,-0.150229,-0.392202,0.02758,-0.933452,0.357641,-0.419962,0.313851,0.851545
10,3.67587,-9.605881,-13.955348,-13.440654,-2.941732,-1.357213,-1.141137,-0.270462,-0.071199,0.132868,-0.869621,0.168813,-0.463962,0.027447,-0.934488,-0.354935,-0.493556,-0.321439,0.808133
11,4.234564,-7.521201,-14.460132,-12.724551,2.08468,-0.504784,0.716103,-0.266462,-0.088287,0.126949,-0.851292,0.042316,-0.522983,-0.097018,-0.987112,0.127266,-0.511027,0.159132,0.844706
