q1g,q2g,q3g
-2.466521352897214914e-01,-1.197585304079082230e-01,1.832559690402141561e-01
-2.461250425723828794e-01,-1.201101579822296817e-01,1.845034839815470895e-01
-2.456989511950576077e-01,-1.199327365612310597e-01,1.865179806916239524e-01
-2.454193501888891904e-01,-1.191818743102295575e-01,1.889337724387627759e-01
-2.453208840851714423e-01,-1.180728611231848524e-01,1.911225494200719799e-01
-2.453498623126094680e-01,-1.170553384159397081e-01,1.925799290182505508e-01
-2.453739350765558325e-01,-1.165160711712836389e-01,1.933241540843291806e-01
-2.452899149110892019e-01,-1.165706954013875918e-01,1.937192772013676678e-01
-2.451045267764478952e-01,-1.171098964589615682e-01,1.939577018411461629e-01
-2.449068826265947685e-01,-1.178608505570548637e-01,1.940220259342140818e-01
-2.447803629957889804e-01,-1.184423035459614554e-01,1.940372659396478738e-01
-2.447846686210909395e-01,-1.185157355619602115e-01,1.942408544742822429e-01
-2.450183550357261653e-01,-1.179443403872316443e-01,1.945391265117280277e-01
-2.455955133621725850e-01,-1.168246638459786574e-01,1.944513519531487211e-01
-2.464739407370966640e-01,-1.154813143575429690e-01,1.936382936656909637e-01
-2.473637231899112610e-01,-1.144316104772413190e-01,1.922893991143742876e-01
-2.478912736251815407e-01,-1.141831926189980084e-01,1.909127009091852456e-01
-2.478520559565533243e-01,-1.149049884201052557e-01,1.899514481611109251e-01
-2.472956794992665075e-01,-1.162879435311928444e-01,1.896737088710224728e-01
-2.464309254724238452e-01,-1.177562176484684975e-01,1.902090189567355039e-01
-2.454740141785571872e-01,-1.188303042940766496e-01,1.915599321149277778e-01
-2.445636403077568466e-01,-1.193072785614741615e-01,1.936090602410665273e-01
-2.437486610673814114e-01,-1.192770579039473117e-01,1.961126557855722152e-01
-2.430266289771006449e-01,-1.190900211179843488e-01,1.986239387691858260e-01
-2.424156314469658180e-01,-1.191240596894766191e-01,2.005926197561077318e-01
-2.420420388806868994e-01,-1.193626568390407372e-01,2.016556921080762399e-01
-2.420979003877357094e-01,-1.193588745262657569e-01,2.017820495290075233e-01
-2.426620470568336407e-01,-1.187438091093337006e-01,2.011173749314396075e-01
-2.435519496799458117e-01,-1.176601770160295435e-01,1.999003170251166528e-01
-2.443737877431403083e-01,-1.165952956328305395e-01,1.986299636919619249e-01
-2.447295888565113042e-01,-1.159295340185650114e-01,1.981000180679448608e-01
-2.444439099630212886e-01,-1.157349212943647593e-01,1.989294295880144614e-01
-2.436741333551392386e-01,-1.159248184748309374e-01,2.008895425444378047e-01
-2.428433702058085397e-01,-1.163973163428492219e-01,2.028307756325220534e-01
-2.423897921521485643e-01,-1.169695776722576991e-01,2.035964841272353554e-01
-2.424695949974851328e-01,-1.173501344462115487e-01,2.030715439231854103e-01
-2.428670367059847235e-01,-1.173464534421642808e-01,2.021705886147930897e-01
-2.431753557926872311e-01,-1.171405644206166136e-01,2.018145705968152903e-01
-2.430439008569661996e-01,-1.173057361906179874e-01,2.021179420082375722e-01
-2.423384224411319066e-01,-1.184188036063903993e-01,2.025417523108486162e-01
-2.412748303856883381e-01,-1.204496239058585050e-01,2.024953282954141953e-01
-2.404088071716657393e-01,-1.225338416414747528e-01,2.017150841926392268e-01
-2.402798964551710326e-01,-1.235527433296564059e-01,2.003866623149699877e-01
-2.409323414262460328e-01,-1.230135587150247983e-01,1.991868501681543502e-01
-2.418538102779725085e-01,-1.213582889245564816e-01,1.989866370674741036e-01
-2.424179151936524668e-01,-1.195705845975170850e-01,2.001363346850599800e-01
